binder_name_raw,regex_mapping,manual_mapping,mapped_superclass
alpha chain T18A TCR,TCRa,,TCR
"T cell receptor, alpha chain",TCRa,,TCR
beta chain T18A TCR,TCRb,,TCR
"T-cell receptor alpha variable 30,T-cell receptor, sp3.4 alpha chain",TCRa,,TCR
PN45428 TCR beta chain,TCRb,,TCR
PN45428 TCR alpha chain,TCRa,,TCR
"Protein TRBV6-5,Human nkt tcr beta chain",TCRb,,TCR
"Protein TRAV22,Human nkt tcr alpha chain",TCRa,,TCR
PN45545 TCR beta chain,TCRb,,TCR
PN45545 TCR alpha chain,TCRa,,TCR
Early E3 18.5 kDa glycoprotein,unknown,E3,E3
Human T-cell receptor Beta chain,TCRb,,TCR
HUman T-cell receptor Alpha chain,TCRa,,TCR
"Human Mel5 T Cell Receptor, Beta Chain",TCRb,,TCR
"Human Mel5 T Cell Receptor, Alpha Chain",TCRa,,TCR
pYLQ7 T cell receptor beta chain,TCRb,,TCR
pYLQ7 T cell receptor alpha chain,TCRa,,TCR
"T cell receptor beta variable 7-9,T cell receptor beta joining 1-2,Human nkt tcr beta chain",TCRb,,TCR
"Human 4C6 T-cell Receptor, beta Chain",TCRb,,TCR
"T cell receptor alpha variable 4,T cell receptor alpha joining 23,M1-specific T cell receptor alpha chain",TCRa,,TCR
Fab light chain,AbL,,Ab
"Human 4C6 T-cell Receptor, alpha Chain",TCRa,,TCR
Fab heavy chain,AbH,,Ab
10LH single chain fragment variable (scFv),scFv,,Ab
PF6 TCR alpha chain,TCRa,,TCR
PF6 TCR beta chain,TCRb,,TCR
"Human T Cell Receptor Mel8, Alpha Chain",TCRa,,TCR
"Human T Cell Receptor Mel8, Beta Chain",TCRb,,TCR
P1B7 Light Chain,AbL,,Ab
P1B7 Heavy Chain,AbH,,Ab
C1-28 TCR alpha chain,TCRa,,TCR
beta chain of the TK3 TCR,TCRb,,TCR
alpha chain of the TK3 TCR,TCRa,,TCR
T-CELL RECEPTOR BETA CHAIN C REGION,TCRb,,TCR
T-CELL RECEPTOR ALPHA CHAIN V REGION,TCRa,,TCR
HD14 beta chain,TCRb,,TCR
HD14 alpha chain,TCRa,,TCR
"Mel5 Human TCR, beta chain",TCRb,,TCR
"Mel5 Human TCR, alpha chain",TCRa,,TCR
TCR F50 beta chain,TCRb,,TCR
TCR F50 alpha chain,TCRa,,TCR
T cell receptor beta chain,TCRb,,TCR
T cell receptor alpha chain,TCRa,,TCR
DD31 TCR beta chain,TCRb,,TCR
DD31 TCR alpha chain,TCRa,,TCR
TRACeR-I,unknown,TRACeR-I,TRACeR-I
"Mel5 TCR, beta chain",TCRb,,TCR
"Mel5 TCR, alpha chain",TCRa,,TCR
DMF4 beta chain,TCRb,,TCR
Human TCR Heavy Chain,TCRb,,TCR
Human TCR Light Chain,TCRa,,TCR
DMF5 beta chain,TCRb,,TCR
DMF5 alpha chain,TCRa,,TCR
D1 TCR beta chain,TCRb,,TCR
D1 TCR alpha chain,TCRa,,TCR
"T-CELL RECEPTOR GAMMA VARIABLE 8,T-CELL RECEPTOR GAMMA-2 CHAIN C REGION",TCRg,,TCR
TCR-V-beta-5-6*01,TCRb,,TCR
TCR-V-alpha-4*01,TCRa,,TCR
REGN6972 Fab heavy chain,AbH,,Ab
REGN6972 Fab light chain,AbL,,Ab
AGA T-CELL RECEPTOR BETA CHAIN,TCRb,,TCR
AGA T-CELL RECEPTOR ALPHA CHAIN,TCRa,,TCR
TCR-V-beta 5-6*01,TCRb,,TCR
TCR-V-alpha 4*01,TCRa,,TCR
"T-cell receptor 12-6, alfa chain",unknown,TCRa,TCR
"TCR 12-6, beta chain",TCRb,,TCR
"T-cell receptor alpha variable 12-2,T-cell receptor, sp3.4 alpha chain",TCRa,,TCR
"T-cell receptor beta variable 19,TRB protein",TCRb,,TCR
AS8.4b,unknown,TCRb,TCR
AS8.4a,unknown,TCRa,TCR
Human T-cell receptor beta chain,TCRb,,TCR
T-cell receptor Alpha chain,TCRa,,TCR
T-cell receptor beta chain (TRBV/TRBC),TCRb,,TCR
T-cell receptor alpha chain (TRAV/TRAC),TCRa,,TCR
"T-cell receptor 1a2, alfa chain",unknown,TCRa,TCR
"TCR receptor 1a2, beta chain",TCRb,,TCR
Beta chain of high affinity engineered T-cell receptor,TCRb,,TCR
Alpha chain of engineered high affinity T-cell receptor,TCRa,,TCR
Alpha chain of C3 TCR,TCRa,,TCR
Beta Chain of C3 TCR,TCRb,,TCR
DMF5 T-cell Receptor Beta Chain fusion,TCRb,,TCR
DMF5 T-cell Receptor Alpha Chain fusion,TCRa,,TCR
"IgG, Fab Light Chain V2",AbL,,Ab
"IgG, Fab Heavy Chain V2",AbH,,Ab
"T-Cell Receptor, Beta Chain",TCRb,,TCR
TD08 TCR beta chain,TCRb,,TCR
TD08 TCR alpha chain,TCRa,,TCR
"T-cell receptor 38-10, alfa chain",unknown,TCRa,TCR
"TCR repeptor 38-10, beta chain",TCRb,,TCR
B.8 Fab light chain,AbL,,Ab
Human T-cell Receptor beta chain,TCRb,,TCR
B.8 Fab heavy chain,AbH,,Ab
Human T-cell receptor alpha chain,TCRa,,TCR
P1-15 T-cell Receptor Beta Chain,TCRb,,TCR
P1-15 T-cell Receptor Alpha Chain,TCRa,,TCR
H2aM31345N Fab heavy chain,AbH,,Ab
H2aM31345N Fab light chain,AbL,,Ab
C7 TCR beta chain,TCRb,,TCR
C7 TCR alpha chain,TCRa,,TCR
"High Affinity Mel5 TCR, beta chain",TCRb,,TCR
"High Affinity Mel5 TCR, alpha chain",TCRa,,TCR
JKF6 beta chain,TCRb,,TCR
JKF6 alpha chain,TCRa,,TCR
R023 Fab light chain,AbL,,Ab
R023 Fab heavy chain,AbH,,Ab
C25 alpha,unknown,TCRa,TCR
C25 beta,unknown,TCRb,TCR
Light chain from antibody JTK191b E07,AbL,,Ab
Fab heavy chain from antibody JTK191b E07,AbH,,Ab
JTK191b_L02_Fab,unknown,AbH,Ab
JTK191b_M07_Light,unknown,AbL,Ab
JTK191b_M07_Fab,unknown,AbH,Ab
JTK191b_L02_Light,unknown,AbL,Ab
TCR-V-beta-10-2*01,TCRb,,TCR
TCR-V-alpha-12-02*01,TCRa,,TCR
H25-11 TCR alpha chain,TCRa,,TCR
H25-11 TCR beta chain,TCRb,,TCR
T-cell receptor beta-2 chain C region,TCRb,,TCR
Human TCR alpha chain,TCRa,,TCR
Human TCR beta chain,TCRb,,TCR
MAIT T-cell receptor alpha chain,TCRa,,TCR
MAIT T-cell receptor beta chain,TCRb,,TCR
TRA@ protein,unknown,TCRa,TCR
TRAV12-2 alpha chain,TCRa,,TCR
TRBV29-1,TCRb,,TCR
Human TCR TRAV1-2_ALPHA,TCRa,,TCR
Human TCR TRBV6-1_BETA,TCRb,,TCR
TCR alpha chain,TCRa,,TCR
TCR beta chain,TCRb,,TCR
TCR TRAV1-2,TCRa,,TCR
TCR TRBV6-1,TCRb,,TCR
TCR-alpha chain,TCRa,,TCR
TCR-beta chain,TCRb,,TCR
TCR TRBV 6-1,TCRb,,TCR
TCR-alpha,unknown,TCRa,TCR
TCR-beta,unknown,TCRb,TCR
M33.64 TCR Alpha Chain,TCRa,,TCR
M33.64 TCR Beta Chain,TCRb,,TCR
E8 TCR Alpha,TCRa,,TCR
E8 TCR beta,TCRb,,TCR
T cell receptor gamma variable 8,TCRg,,TCR
T cell receptor delta variable 3,TCRd,,TCR
1519.g57- Light chain,AbL,,Ab
Capsid protein VP3,unknown,Capsid protein VP3,VPs
Capsid protein VP1,unknown,Capsid protein VP1,VPs
Capsid protein VP2,unknown,Capsid protein VP2,VPs
VP1,unknown,Capsid protein VP1,VPs
VP2,unknown,Capsid protein VP2,VPs
VP3,unknown,Capsid protein VP3,VPs
Echovirus 18 viral protein 1,unknown,Capsid protein VP1,VPs
Echovirus 18 viral protein 2,unknown,Capsid protein VP1,VPs
TCR variable DELTA 1 CHAIN and TCR constant Alpha,unknown,TCRd,TCR
TCR variable BETA 2 (TRVB20) chain and TCR constant BETA,unknown,TCRb,TCR
NKT TCR autoreactive-Vbeta11 chain,unknown,TCRb,TCR
DX-2507 Fab heavy chain,AbH,,Ab
Natural killer T cell receptor TRAV26-2,TCRa,,TCR
Natural killer T cell receptor TRBV19 beta chain,TCRb,,TCR
NKT15 T cell receptor beta-chain,TCRb,,TCR
NKT15 T cell receptor alpha-chain,TCRa,,TCR
Synthetic EPCR binding protein,unknown,Synthetic PfEMP1,PfEMP1
Invariant Natural Killer T Cell Receptor chain B,unknown,TCRb,TCR
Invariant Natural Killer T Cell Receptor chain A,unknown,TCRa,TCR
TCR Alpha Chain-TRAV21-TRAJ8,TCRa,,TCR
Natural Killer T cell receptor TRAV26A-2 alpha chain,TCRa,,TCR
Natural Killer T cell receptor TRBV19 beta chain,TCRb,,TCR
"T cell receptor gamma variable 4,T cell receptor beta constant 1",TCRb,,TCR
IT4VAR07 CIDRA,unknown,CIDRα,PfEMP1
HB3VAR03 CIDRA DOMAIN,unknown,CIDRα,PfEMP1
