pdb_id,chain_id,reason
1LP9,D,Mus musculus
1LP9,E,Mus musculus
2JCC,E,Mus musculus
2JCC,D,Mus musculus
2UWE,D,Mus musculus
2UWE,E,Mus musculus
2J8U,D,Mus musculus
2J8U,E,Mus musculus
6V7Z,C,Lama glama
6V80,E,Lama glama
8I5C,D,Mus musculus
8I5C,E,Mus musculus
8I5D,B,Mus musculus
8I5D,C,Mus musculus
8WTE,C,Mus musculus
8WTE,B,Mus musculus
8WUL,C,Mus musculus
8WUL,B,Mus musculus
3DTX,C,B2M
7DZM,B,B2M
7NUI,B,B2M
8DV3,B,B2M
7NDT,F,Copy from asymmetric unit (chain E)
